SETTLEMENTDATE,RRP,DAYTYPE,MONTH,HOUR,YEAR,DAY
2022-01-05 04:00,66.58666667,1,1,5,2022,5
2022-01-05 05:00,67.21166667,1,1,6,2022,5
2022-01-05 06:00,53.01583333,1,1,7,2022,5
2022-01-05 07:00,59.6975,1,1,8,2022,5
2022-01-05 08:00,67.70166667,1,1,9,2022,5
2022-01-05 09:00,68.625,1,1,10,2022,5
2022-01-05 10:00,71.38,1,1,11,2022,5
2022-01-05 11:00,71.79666667,1,1,12,2022,5
2022-01-05 12:00,74.04583333,1,1,13,2022,5
2022-01-05 13:00,74.94416667,1,1,14,2022,5
2022-01-05 14:00,72.77666667,1,1,15,2022,5
2022-01-05 15:00,69.46333333,1,1,16,2022,5
2022-01-05 16:00,68.84833333,1,1,17,2022,5
2022-01-05 17:00,68.67083333,1,1,18,2022,5
2022-01-05 18:00,70.2,1,1,19,2022,5
2022-01-05 19:00,74.3125,1,1,20,2022,5
2022-01-05 20:00,74.94416667,1,1,21,2022,5
2022-01-05 21:00,73.59416667,1,1,22,2022,5
2022-01-05 22:00,82.655,1,1,23,2022,5
2022-01-05 23:00,79.88083333,1,1,24,2022,5
2022-01-06 00:00,70.17583333,1,1,1,2022,6
2022-01-06 01:00,66.38166667,1,1,2,2022,6
2022-01-06 02:00,64.735,1,1,3,2022,6
2022-01-06 03:00,66.94,1,1,4,2022,6
2022-01-06 04:00,70.17583333,1,1,5,2022,6
2022-01-06 05:00,70.19333333,1,1,6,2022,6
2022-01-06 06:00,68.47083333,1,1,7,2022,6
2022-01-06 07:00,76.1575,1,1,8,2022,6
2022-01-06 08:00,92.43833333,1,1,9,2022,6
2022-01-06 09:00,71.26583333,1,1,10,2022,6
2022-01-06 10:00,65.07583333,1,1,11,2022,6
2022-01-06 11:00,78.92666667,1,1,12,2022,6
2022-01-06 12:00,77.46583333,1,1,13,2022,6
2022-01-06 13:00,88.87916667,1,1,14,2022,6
2022-01-06 14:00,63.66083333,1,1,15,2022,6
2022-01-06 15:00,65.00166667,1,1,16,2022,6
2022-01-06 16:00,69.68833333,1,1,17,2022,6
2022-01-06 17:00,69.16083333,1,1,18,2022,6
2022-01-06 18:00,72.145,1,1,19,2022,6
2022-01-06 19:00,72.885,1,1,20,2022,6
2022-01-06 20:00,69.3425,1,1,21,2022,6
2022-01-06 21:00,69.9875,1,1,22,2022,6
2022-01-06 22:00,73.3425,1,1,23,2022,6
2022-01-06 23:00,83.5525,1,1,24,2022,6
2022-01-07 00:00,81.22083333,1,1,1,2022,7
2022-01-07 01:00,74.40416667,1,1,2,2022,7
2022-01-07 02:00,74.42666667,1,1,3,2022,7
2022-01-07 03:00,77.91916667,1,1,4,2022,7
2022-01-07 04:00,77.25833333,1,1,5,2022,7
2022-01-07 05:00,78.42583333,1,1,6,2022,7
